months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
22.7,50,3.3232673404,0.0136189364643,0.1,2500,995.627704539,1.10775578013,3,2.04902812042
22.8,50,3.21385365603,0.0131617991785,0.1,2500,995.738480117,1.07128455201,3,2.04766622677
22.9,50,3.10804138075,0.0127202812503,0.1,2500,995.845608572,1.03601379358,3,2.04635004686
23,50,3.00571202952,0.0122938312044,0.1,2500,995.949209952,1.00190400984,3,2.04507801873
23.1,50,2.90675101165,0.0118819181784,0.1,2500,996.049400353,0.968917003884,3,2.04384863561
23.2,50,2.81104750308,0.0114840310803,0.1,2500,996.146292053,0.937015834361,3,2.04266044379
23.3,50,2.71849432275,0.0110996777849,0.1,2500,996.239993637,0.906164774252,3,2.04151204068
23.4,50,2.62898781311,0.010728384367,0.1,2500,996.330610114,0.876329271036,3,2.04040207291
23.5,50,2.54242772444,0.01036969437,0.1,2500,996.418243041,0.847475908147,3,2.03932923447
23.6,50,2.45871710306,0.0100231681061,0.1,2500,996.502990632,0.819572367688,3,2.03829226503
23.7,50,2.37776218311,0.0096883819898,0.1,2500,996.584947869,0.792587394368,3,2.03728994822
23.8,50,2.29947228187,0.00936492789895,0.1,2500,996.664206608,0.766490760622,3,2.03632111002
23.9,50,2.22375969859,0.00905241256588,0.1,2500,996.740855684,0.741253232865,3,2.03538461723
24,50,2.15053961657,0.00875045699424,0.1,2500,996.814981007,0.716846538855,3,2.03447937598
24.1,50,2.07973000838,0.00845869590169,0.1,2500,996.886665661,0.693243336126,3,2.03360433028
24.2,50,2.01125154436,0.00817677718672,0.1,2500,996.955989995,0.670417181452,3,2.03275846069
24.3,50,1.94502750393,0.00790436141846,0.1,2500,997.023031713,0.64834250131,3,2.03194078297
24.4,50,1.88098368994,0.00764112134839,0.1,2500,997.087865963,0.626994563314,3,2.03115034683
24.5,50,1.81904834574,0.00738674144287,0.1,2500,997.15056542,0.606349448581,3,2.03038623469
24.6,50,1.75915207503,0.00714091743543,0.1,2500,997.211200364,0.58638402501,3,2.02964756055
24.7,50,1.70122776427,0.00690335589798,0.1,2500,997.269838767,0.567075921424,3,2.0289334688
24.8,50,1.64521050772,0.00667377382995,0.1,2500,997.326546359,0.548403502573,3,2.02824313321
24.9,50,1.59103753485,0.00645189826454,0.1,2500,997.381386709,0.530345844949,3,2.02757575583
25,50,1.53864814018,0.0062374658913,0.1,2500,997.434421294,0.512882713393,3,2.026930566
25.1,50,1.48798361543,0.00603022269424,0.1,2500,997.485709565,0.495994538476,3,2.02630681941
25.2,50,1.43898718385,0.00582992360473,0.1,2500,997.535309019,0.479662394616,3,2.02570379714
25.3,50,1.39160393675,0.00563633216866,0.1,2500,997.583275258,0.463867978916,3,2.02512080478
25.4,50,1.34578077207,0.00544922022692,0.1,2500,997.629662056,0.448593590691,3,2.02455717157
